ChatGPT_Prompt,Label
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 45577.48172, Bwd IAT Total = 9604.0, Bwd IAT Std = 5197.25048828125, Bwd IAT Max = 9200.0, Fwd PSH Flags = 0, Bwd Packets/s = 400.68115234375, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 29215.35893, Bwd IAT Total = 15263.0, Bwd IAT Std = 8514.5791015625, Bwd IAT Max = 14918.0, Fwd PSH Flags = 0, Bwd Packets/s = 256.83831787109375, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 42759.13918, Bwd IAT Total = 10134.0, Bwd IAT Std = 5492.80859375, Bwd IAT Max = 9716.0, Fwd PSH Flags = 0, Bwd Packets/s = 375.9045104980469, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 41816.00956, Bwd IAT Total = 10384.0, Bwd IAT Std = 5694.75537109375, Bwd IAT Max = 10034.0, Fwd PSH Flags = 0, Bwd Packets/s = 367.61328125, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40219.21683, Bwd IAT Total = 10742.0, Bwd IAT Std = 5794.75, Bwd IAT Max = 10268.0, Fwd PSH Flags = 0, Bwd Packets/s = 353.5755310058594, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43403.60584, Bwd IAT Total = 10012.0, Bwd IAT Std = 5461.40380859375, Bwd IAT Max = 9640.0, Fwd PSH Flags = 0, Bwd Packets/s = 381.5701599121094, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 44477.02835, Bwd IAT Total = 9821.0, Bwd IAT Std = 5331.98193359375, Bwd IAT Max = 9427.0, Fwd PSH Flags = 0, Bwd Packets/s = 391.0068359375, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 39217.37631, Bwd IAT Total = 10942.0, Bwd IAT Std = 5656.875, Bwd IAT Max = 10165.0, Fwd PSH Flags = 0, Bwd Packets/s = 344.7681579589844, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 39845.87092, Bwd IAT Total = 10892.0, Bwd IAT Std = 5895.46240234375, Bwd IAT Max = 10433.0, Fwd PSH Flags = 0, Bwd Packets/s = 350.2933654785156, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 0.0, Fwd Packet Length Mean = 0.0, Fwd Packet Length Std = 0.0, Flow Bytes/s = 17.99692253, Bwd IAT Total = 999647.0, Bwd IAT Std = 368.4026184082031, Bwd IAT Max = 500084.0, Fwd PSH Flags = 0, Bwd Packets/s = 2.9994871616363525, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 0.0, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 0, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
